Source,Target
Angina,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Neuropathic pain,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Neuropathic pain,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Neuropathic pain,Pain (finding)
Neuropathic pain,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Neuropathic pain,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Ophthalmoplegia (disorder),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Neuropathic pain,Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Angina,Pain (finding)
Pain (finding),Pain (finding)
Dorsalgia,Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Pain (finding),Pain (finding)
Neuropathic pain,Pain (finding)
Pain (finding),Pain (finding)
Pain of head and neck region,Pain of head and neck region
Radicular pain,Pain of head and neck region
Pain of head and neck region,Pain of head and neck region
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
Headache (finding),Headache (finding)
