Id,Label,Attribute
Pain (finding),Pain (finding),Symptom
Pain of head and neck region,Pain of head and neck region,Symptom
Headache (finding),Headache (finding),Symptom
Neuropathic pain,Neuropathic pain,Symptom
Angina,Angina,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Neuropathic pain,Neuropathic pain,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Neuropathic pain,Neuropathic pain,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Neuropathic pain,Neuropathic pain,Disease
Neuropathic pain,Neuropathic pain,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Angina,Angina,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Angina,Angina,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Neuropathic pain,Neuropathic pain,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Angina,Angina,Disease
Angina,Angina,Disease
Angina,Angina,Disease
Angina,Angina,Disease
Angina,Angina,Disease
Angina,Angina,Disease
Angina,Angina,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Angina,Angina,Disease
Angina,Angina,Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Ophthalmoplegia (disorder),Ophthalmoplegia (disorder),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
Pain (finding),Pain (finding),Disease
