5p partial monosomy syndrome,Cri du chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS with fatigue,Fatigue associated with AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS with hepatomegaly,Hepatomegaly associated with AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS with malaise,Malaise associated with AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal migraine,Abdominal migraine  symptom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal seizure,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abductor spastic dysphonia,Spastic dysphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal involuntary movement,Athetoid movement,Clonus,Muscle fasciculation,Spasticity,Spasm finding,Tremor finding,Opisthotonus finding,Local spasm,Muscle twitch finding,Synkinesis finding,Trembles,Persistent tremor,Continuous tremor,Intermittent tremor,Fine tremor,Coarse tremor,Massive tremor,Passive tremor,Static tremor,Resting tremor,Grimaces,Clasp knife like increase in tone,Risus sardonicus,Involuntary movement,Involuntary movement symptom,Head movements abnormal,Pleurothotonus,Wrist clonus,Pseudoathetosis,Thyrotoxic tremor,Pill rolling,Involuntary truncal rocking,Orthostatic tremor,Chronic tremor
Abnormal vision,Spherical aberration of vision,Chromatic aberration of vision,Visual alteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormality of nail shape,Koilonychia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abortive cerebellar ataxia,Cerebellar ataxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abscess of umbilicus,Disorder of umbilicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absence seizure,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation phosphene,Other specified visual disturbance NOS,Other specified visual disturbance,Subjective visual disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodative asthenopia,Visual discomfort,Eyes tire easily,Visual symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accretion on teeth,Extrinsic staining of teeth associated with inadequate oral hygiene,Extrinsic staining of teeth associated with oral habits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accumulation of bile in abdominal cavity,Intraabdominal collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillodynia,Pain in lower limb finding,Tenalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromic skin lesions of pinta,Achromia of skin disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired blepharophimosis,Narrowing of palpebral fissure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired choreiform dyspraxia,Coordination problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired hyperbilirubinemia disorder,DJaundice not of newborn,DJaundice not of newborn NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired immune deficiency syndrome AIDS disorder,Hepatomegaly associated with AIDS,Malaise associated with AIDS,Fatigue associated with AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acquired koilonychia,Koilonychia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acral erythema due to cytotoxic therapy,Erythema of skin,Erythematous condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrodermatitis continua,Pustular rash morphologic abnormality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acroparesthesia finding,Paresthesia finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinic reticuloid disorder,Persistent light reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute and subacute bacterial endocarditis,Oslers node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute cardiac pulmonary edema,Acute edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute cerebellar ataxia due to varicella,Cerebellar ataxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute cholestatic jaundice syndrome,DJaundice not of newborn,DJaundice not of newborn NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute confusional migraine,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute conjunctivitis or Newcastles disease or viral pharyngoconjunctivitis or pink eye or sticky eye,Red eye,Discharge of eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute coronary insufficiency,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute diarrhea,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute disease,Sudden visual loss,Acute vomiting,Benign paroxysmal positional vertigo nystagmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute disease of cardiovascular system,Paroxysmal hypertension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute edema  cutaneous distension syndrome,Acute edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute edema blisters,Acute edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute lymphangitis of umbilicus,Disorder of umbilicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute mucopurulent conjunctivitis or sticky eye,Discharge of eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute nasopharyngitis or common cold or acute coryza or acute rhinitis or sniffles or snuffles,Snuffles,Nasal discharge,Nasal discharge present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute nervous system disorder,Paroxysmal dystonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute painful diabetic neuropathy,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute pharyngitis,Pain in throat,Sore throat symptom,Has a sore throat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute pulmonary edema,Acute edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute pulmonary edema due to fumes ANDOR vapors,Acute edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute renal failure with oliguria,Oliguria finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute respiratory distress,Respiratory distress finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute sanguinous otitis media,Bleeding from ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute sciatica,Pain finding,Sciatica disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adductor spastic dysphonia,Spastic dysphonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adductor spastic dysphonia of organic voice tremor,Dysphonia of organic tremor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrenogenital disorder,Virilization finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult myxedema,Hard edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afebrile seizure,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akinesia,Motor dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akinetic seizure without atonia,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol hallucinosis,Alcohol induced hallucinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol withdrawal hallucinosis,Alcohol induced hallucinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol withdrawalinduced convulsion,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholinduced epilepsy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholrelated fit,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algodystrophy disorder,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algodystrophy of foot,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algodystrophy of hand,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algodystrophy of knee,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algoneurodystrophy disorder,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alimentary tract pain due to vascular insufficiency,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergic diarrhea,Diarrhea symptom,Loose stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergic headache,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternating hemiplegia,Hemiplegia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternating hypoglossal hemiplegia,Hemiplegia disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amalgam tattoo,Macule morphologic abnormality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaurosis disorder,Amaurosis fugax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amblyopia disorder,Visual disturbances NOS or amblyopia or blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amenorrhea finding,Menstruation absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amusia,Other and unspecified symbolic dysfunctions,DOther symbolic dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amygdalohippocampal epilepsy,Seizure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anal spasm,Bowel spasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anal warts,Mass of digestive structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analgesic overuse headache,Headache finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anarthria,DOther speech disturbance NOS,DOther speech disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemia due to starvation,Starvation disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angina decubitus disorder,Angina,Ischemic chest pain,Pain finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angina, class I",Angina,Ischemic chest pain,Pain finding,Other forms of angina pectoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angina, class II",Angina,Ischemic chest pain,Pain finding,Other forms of angina pectoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angina, class III",Angina,Ischemic chest pain,Pain finding,Other forms of angina pectoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angina, class IV",Angina,Ischemic chest pain,Pain finding,Other forms of angina pectoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angiomatosis of retina,Mass of eye structure,Swelling of structure of eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angry back syndrome,Low back pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angular cheilitis,Sore lip or angular stomatitis &or cheilitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annular erythema,Erythema of skin,Erythematous condition,Familial annular erythema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anomaly of vergence system,Anomaly of divergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorexic,Anorexia symptom finding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anosognosia,DOther general symptoms NOS,DOther general symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
