disease,symptom,Number of diseases,values
Acquired immune deficiency syndrome (AIDS) (disorder),Hepatomegaly associated with AIDS,2.0,1
Acquired immune deficiency syndrome (AIDS) (disorder),Malaise associated with AIDS,2.0,1
Acquired immune deficiency syndrome (AIDS) (disorder),Fatigue associated with AIDS,2.0,1
Acute disease,Sudden visual loss,1.0,1
Acute disease,Acute vomiting,1.0,1
Acute disease,Benign paroxysmal positional vertigo nystagmus,3.0,1
Acute pharyngitis,Pain in throat,4.0,1
Acute pharyngitis,Sore throat symptom,4.0,1
Acute pharyngitis,Has a sore throat,1.0,1
Stokes-Adams attack,Syncope symptom,12.0,1
Stokes-Adams-Morgagni syndrome,Syncope symptom,12.0,1
Stokes-Adams syndrome,Syncope symptom,12.0,1
Stokes-Adams attack,Syncope and collapse,12.0,1
Stokes-Adams-Morgagni syndrome,Syncope and collapse,12.0,1
Stokes-Adams syndrome,Syncope and collapse,12.0,1
Amblyopia (disorder),(Visual disturbances NOS) or (amblyopia) or (blurred vision),2.0,1
Amenorrhea (finding),Menstruation absent,1.0,1
Prinzmetal angina,Angina,23.0,1
Prinzmetal angina,Ischemic chest pain,23.0,1
Prinzmetal angina,Pain (finding),136.0,1
Anorexic,Anorexia symptom (finding),2.0,1
Anuria (finding),Oliguria and anuria,1.0,1
Eye strain,Visual discomfort,3.0,1
Accommodative asthenopia,Visual discomfort,3.0,1
Eye strain,Eyes tire easily,1.0,1
Accommodative asthenopia,Eyes tire easily,1.0,1
Eye strain,Visual symptoms,1.0,1
Accommodative asthenopia,Visual symptoms,1.0,1
Azoospermia (disorder),Complete spermatogenic arrest,2.0,1
Azoospermia (finding),Complete spermatogenic arrest,2.0,1
Azoospermia (disorder),Incomplete spermatogenic arrest,2.0,1
Azoospermia (finding),Incomplete spermatogenic arrest,2.0,1
Nonproliferative diabetic retinopathy (disorder),O/E - right eye preproliferative diabetic retinopathy,3.0,1
Background retinopathy,O/E - retinopathy,2.0,1
Unspecified background retinopathy,O/E - retinopathy,2.0,1
Background retinopathy,O/E - referable retinopathy,1.0,1
Unspecified background retinopathy,O/E - referable retinopathy,1.0,1
Background retinopathy,O/E - non-referable retinopathy,1.0,1
Unspecified background retinopathy,O/E - non-referable retinopathy,1.0,1
Disorder of basal ganglia,Hemiballism (disorder),2.0,1
Binocular vision disorder,Visual alteration,9.0,1
Unicameral bone cyst,Mass of musculoskeletal structure,10.0,1
Solitary bone cyst,Mass of musculoskeletal structure,10.0,1
Bone cyst,Mass of musculoskeletal structure,10.0,1
Disorder of brain,Menopausal headache,3.0,1
Disorder of breast,"Breast subinvolution, postpartum",2.0,1
Disorder of breast,Postpartum subinvolution of breast,2.0,1
Disorder of breast,Peau d'orange surface of breast,2.0,1
Disorder of bronchus,Smokers' cough,3.0,1
Burning mouth syndrome,Skin sensation disturbance,6.0,1
Burning mouth syndrome,Glossodynia (disorder),4.0,1
Burning mouth syndrome,Glossopyrosis (disorder),3.0,1
Disorder of cardiovascular system,Syncope symptom,12.0,1
Disorder of cardiovascular system,Syncope and collapse,12.0,1
Disorder of cardiovascular system,Near syncope,1.0,1
"Complex regional pain syndrome, type II",Pain (finding),136.0,1
Disorder of the central nervous system,Hemiplegia (disorder),11.0,1
Disorder of the central nervous system,Thunderclap headache,2.0,1
Disorder of the central nervous system,Bruns nystagmus,3.0,1
Cerebellar disorder,Cerebellar ataxia,11.0,1
Cerebellar deficiency syndrome,Cerebellar ataxia,11.0,1
Progressive cerebellar tremor,Cerebellar ataxia,11.0,1
Early onset cerebellar ataxia with myoclonus,Cerebellar ataxia,11.0,1
Dyssynergia cerebellaris myoclonica,Cerebellar ataxia,11.0,1
Progressive cerebellar tremor,Myoclonic disorder,29.0,1
Early onset cerebellar ataxia with myoclonus,Myoclonic disorder,29.0,1
Dyssynergia cerebellaris myoclonica,Myoclonic disorder,29.0,1
Cervicobrachial neuralgia,Pain (finding),136.0,1
Cervico-occipital neuralgia,Pain of head and neck region,3.0,1
Chagas' disease without mention of organ involvement (disorder),Trypanosomal chancre,4.0,1
Chorea (finding),Involuntary movement,5.0,1
Chorea (finding),Involuntary movement symptom,5.0,1
Chorea (finding),Oral choreiform movement,1.0,1
Chronic disease (disorder),Chronic vomiting,1.0,1
Chronic rhinitis,Purulent nasal discharge,8.0,1
Chronic rhinitis,Purulent rhinitis,8.0,1
Chronic rhinitis,(Chronic rhinitis) or (catarrh unspecified),1.0,1
Ciliary neuralgia,Headache (finding),59.0,1
Chronic cluster headache,Headache (finding),59.0,1
Cluster headache,Headache (finding),59.0,1
Ciliary neuralgia,Neuropathic pain,16.0,1
Chronic cluster headache,Neuropathic pain,16.0,1
Cluster headache,Neuropathic pain,16.0,1
Ciliary neuralgia,Pain (finding),136.0,1
Chronic cluster headache,Pain (finding),136.0,1
Cluster headache,Pain (finding),136.0,1
Disorder of colon,Constipation (disorder),12.0,1
Coma (disorder),[D]Coma &/or [D]stupor,1.0,1
Coma (disorder),[D]Coma and stupor NOS,1.0,1
Coma (disorder),[D]Coma and stupor,1.0,1
Common cold,Sinus catarrh,1.0,1
Genital warts,Perineal lump (finding),6.0,1
Condyloma acuminatum,Perineal lump (finding),6.0,1
Genital warts,Penile warts,4.0,1
Condyloma acuminatum,Penile warts,4.0,1
Genital warts,Mass of urogenital structure,1.0,1
Condyloma acuminatum,Mass of urogenital structure,1.0,1
Febrile convulsion,Seizure,169.0,1
Disorder of cornea,Corneal pigmentations and deposits,4.0,1
