disease,symptom,Number of diseases,values
Acquired immune deficiency syndrome AIDS disorder,Hepatomegaly associated with AIDS,20,1
Acquired immune deficiency syndrome AIDS disorder,Malaise associated with AIDS,20,1
Acquired immune deficiency syndrome AIDS disorder,Fatigue associated with AIDS,20,1
Acute disease,Sudden visual loss,10,1
Acute disease,Acute vomiting,10,1
Acute disease,Benign paroxysmal positional vertigo nystagmus,30,1
Acute pharyngitis,Pain in throat,40,1
Acute pharyngitis,Sore throat symptom,40,1
Acute pharyngitis,Has a sore throat,10,1
Stokes-Adams attack,Syncope symptom,120,1
Stokes-Adams-Morgagni syndrome,Syncope symptom,120,1
Stokes-Adams syndrome,Syncope symptom,120,1
Stokes-Adams attack,Syncope and collapse,120,1
Stokes-Adams-Morgagni syndrome,Syncope and collapse,120,1
Stokes-Adams syndrome,Syncope and collapse,120,1
Amblyopia disorder,Visual disturbances NOS or amblyopia or blurred vision,20,1
Amenorrhea finding,Menstruation absent,10,1
Prinzmetal angina,Angina,230,1
Prinzmetal angina,Ischemic chest pain,230,1
Prinzmetal angina,Pain finding,1360,1
Anorexic,Anorexia symptom finding,20,1
Anuria finding,Oliguria and anuria,10,1
Eye strain,Visual discomfort,30,1
Accommodative asthenopia,Visual discomfort,30,1
Eye strain,Eyes tire easily,10,1
Accommodative asthenopia,Eyes tire easily,10,1
Eye strain,Visual symptoms,10,1
Accommodative asthenopia,Visual symptoms,10,1
Azoospermia disorder,Complete spermatogenic arrest,20,1
Azoospermia finding,Complete spermatogenic arrest,20,1
Azoospermia disorder,Incomplete spermatogenic arrest,20,1
Azoospermia finding,Incomplete spermatogenic arrest,20,1
Nonproliferative diabetic retinopathy disorder,OE - right eye preproliferative diabetic retinopathy,30,1
Background retinopathy,OE - retinopathy,20,1
Unspecified background retinopathy,OE - retinopathy,20,1
Background retinopathy,OE - referable retinopathy,10,1
Unspecified background retinopathy,OE - referable retinopathy,10,1
Background retinopathy,OE - non-referable retinopathy,10,1
Unspecified background retinopathy,OE - non-referable retinopathy,10,1
Disorder of basal ganglia,Hemiballism disorder,20,1
Binocular vision disorder,Visual alteration,90,1
Unicameral bone cyst,Mass of musculoskeletal structure,100,1
Solitary bone cyst,Mass of musculoskeletal structure,100,1
Bone cyst,Mass of musculoskeletal structure,100,1
Disorder of brain,Menopausal headache,30,1
Disorder of breast,"Breast subinvolution, postpartum",20,1
Disorder of breast,Postpartum subinvolution of breast,20,1
Disorder of breast,Peau dorange surface of breast,20,1
Disorder of bronchus,Smokers cough,30,1
Burning mouth syndrome,Skin sensation disturbance,60,1
Burning mouth syndrome,Glossodynia disorder,40,1
Burning mouth syndrome,Glossopyrosis disorder,30,1
Disorder of cardiovascular system,Syncope symptom,120,1
Disorder of cardiovascular system,Syncope and collapse,120,1
Disorder of cardiovascular system,Near syncope,10,1
"Complex regional pain syndrome, type II",Pain finding,1360,1
Disorder of the central nervous system,Hemiplegia disorder,110,1
Disorder of the central nervous system,Thunderclap headache,20,1
Disorder of the central nervous system,Bruns nystagmus,30,1
Cerebellar disorder,Cerebellar ataxia,110,1
Cerebellar deficiency syndrome,Cerebellar ataxia,110,1
Progressive cerebellar tremor,Cerebellar ataxia,110,1
Early onset cerebellar ataxia with myoclonus,Cerebellar ataxia,110,1
Dyssynergia cerebellaris myoclonica,Cerebellar ataxia,110,1
Progressive cerebellar tremor,Myoclonic disorder,290,1
Early onset cerebellar ataxia with myoclonus,Myoclonic disorder,290,1
Dyssynergia cerebellaris myoclonica,Myoclonic disorder,290,1
Cervicobrachial neuralgia,Pain finding,1360,1
Cervico-occipital neuralgia,Pain of head and neck region,30,1
Chagas disease without mention of organ involvement disorder,Trypanosomal chancre,40,1
Chorea finding,Involuntary movement,50,1
Chorea finding,Involuntary movement symptom,50,1
Chorea finding,Oral choreiform movement,10,1
Chronic disease disorder,Chronic vomiting,10,1
Chronic rhinitis,Purulent nasal discharge,80,1
Chronic rhinitis,Purulent rhinitis,80,1
Chronic rhinitis,Chronic rhinitis or catarrh unspecified,10,1
Ciliary neuralgia,Headache finding,590,1
Chronic cluster headache,Headache finding,590,1
Cluster headache,Headache finding,590,1
Ciliary neuralgia,Neuropathic pain,160,1
Chronic cluster headache,Neuropathic pain,160,1
Cluster headache,Neuropathic pain,160,1
Ciliary neuralgia,Pain finding,1360,1
Chronic cluster headache,Pain finding,1360,1
Cluster headache,Pain finding,1360,1
Disorder of colon,Constipation disorder,120,1
Coma disorder,DComa &or Dstupor,10,1
Coma disorder,DComa and stupor NOS,10,1
Coma disorder,DComa and stupor,10,1
Common cold,Sinus catarrh,10,1
Genital warts,Perineal lump finding,60,1
Condyloma acuminatum,Perineal lump finding,60,1
Genital warts,Penile warts,40,1
Condyloma acuminatum,Penile warts,40,1
Genital warts,Mass of urogenital structure,10,1
Condyloma acuminatum,Mass of urogenital structure,10,1
Febrile convulsion,Seizure,1690,1
Disorder of cornea,Corneal pigmentations and deposits,40,1
Coronary artery spasm,Other forms of angina pectoris,140,1
Bathing cramp,Cramp finding,10,1
Bathing cramp,Bathing cramps - immersion or immersion,10,1
Cranial neuralgia,Neuropathic pain,160,1
Cranial neuralgia,Pain finding,1360,1
5p partial monosomy syndrome,Cri du chat,10,1
Cutaneous endometriosis,Pain finding,1360,1
Difficulty swallowing,Swallowing painful,10,1
Difficulty swallowing,Swallowing problem,10,1
Difficulty swallowing,Swallowing symptoms,10,1
Difficulty swallowing,Swallowing symptoms or dysphagia,10,1
